component,name,max,average,percentile_50.0,percentile_75.0,percentile_99.0,percentile_99.9,capacity,instance_cnt
tidb,CPU(core),14.971999999973923,5.8517181813607415,5.966000000014901,7.4573333333556855,10.893473333355033,12.626028000022947,32,23
tidb,Memory(byte),17139298304.0,9921053610.295652,9812230144.0,10128704512.0,13000254300.160002,15402081128.448034,66206752768,23
tikv,CPU(core),20.691666666666666,9.058063534652076,9.008333333333333,10.375,13.7,14.983008333333418,32,33
tikv,Memory(byte),78372577280.0,76456589214.47003,76438155264.0,76771061760.0,77816803614.72,78187953123.32802,132135682048,33
tikv,Storage(byte),1486268730010.0,1431737039400.3691,1431871633935.0,1443702399379.0,1473980046039.83,1481675660190.087,3246532763648,33
pd,CPU(core),11.028666666646798,1.5896783950615196,0.22899999999984477,3.5875,6.190386666648094,8.130606666647306,32,3
pd,Memory(byte),17309396992.0,9393502435.555555,5740191744.0,16764059648.0,16977654210.56,17058636664.832,66206752768,3
tiflash,CPU(core),7.533333333333333,2.046039299242424,1.1416666666666666,3.2916666666666665,5.575,6.763683333333393,16,11
tiflash,Memory(byte),25610100736.0,14517419710.965656,14224683008.0,14614276096.0,19394176901.119995,22883814068.22418,133456162816,11
tiflash,Storage(byte),772629484547.0,750325025771.1843,749959634035.0,756478176125.25,768227787983.83,770303918854.579,2164290142208,11
